id,name,type,latitude,longitude,capacity,operating_hours,features
null,60계치킨 구미비산점,restaurant,36.121331,128.375234,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""60계치킨""]}"
null,BBQ 구미신평점,restaurant,36.122201,128.361858,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""BBQ""]}"
null,BHC치킨 구미신평비산점,restaurant,36.122389,128.36311,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""BHC치킨""]}"
null,가보세포차,restaurant,36.123402,128.363337,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,가장맛있는족발 구미신평점,restaurant,36.120757,128.363025,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""족발,보쌈"", ""가장맛있는족발""]}"
null,강구횟집,restaurant,36.123068,128.364714,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선"", ""회""]}"
null,강원도 주막막걸리 구미1호점,bar,36.12319,128.364275,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집""]}"
null,고개마루,restaurant,36.121219,128.371611,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,곱창명가선산곱창,restaurant,36.122389,128.36311,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""]}"
null,공원막창,restaurant,36.122254,128.374969,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""]}"
null,교동짬뽕 비산점,restaurant,36.122305,128.375544,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""중식"", ""중국요리""]}"
null,교촌치킨 신평공단점,restaurant,36.122654,128.365141,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""교촌치킨""]}"
null,구미경찰서 후생복지위원회 구내식당,cafeteria,36.117868,128.365055,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""구내식당""]}"
null,구미빙과총판,restaurant,36.115623,128.36548,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""아이스크림""]}"
null,국수나무 구미비산점,restaurant,36.12082,128.374212,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국수"", ""국수나무""]}"
null,굽네치킨 신평비산점,restaurant,36.119703,128.374237,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""굽네치킨""]}"
null,권오익원조선산곱창,restaurant,36.122189,128.36198,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""]}"
null,그집마늘치킨 신평점,restaurant,36.12287,128.364721,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨""]}"
null,금룡,restaurant,36.12256,128.363637,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""중식"", ""중국요리""]}"
null,김밥365 신평점,fastfood,36.122739,128.364725,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식""]}"
null,김밥천국 비산점,fastfood,36.120863,128.374306,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식""]}"
null,김밥천국 신평점,fastfood,36.122181,128.362553,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식""]}"
null,김복남맥주 구미비산점,bar,36.122293,128.375011,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""호프,요리주점"", ""김복남맥주""]}"
null,김해본가뒷고기 신평점,restaurant,36.122199,128.362067,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,꼬미꼬미꼬마김밥,fastfood,36.120846,128.363479,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식""]}"
null,꼬소하이삼겹살,restaurant,36.122659,128.362533,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""삼겹살""]}"
null,꾸어꾸어,restaurant,36.124032,128.364756,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""]}"
null,나그네민속촌,restaurant,36.122566,128.362472,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,나들목식당,restaurant,36.120855,128.363297,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,다모아피자 신평비산점,restaurant,36.12073,128.375605,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""양식"", ""피자""]}"
null,다옴,restaurant,36.123628,128.363256,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,대구통닭 구미비산점,restaurant,36.121065,128.374415,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨""]}"
null,더달달 비산점,restaurant,36.12059,128.372155,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""제과,베이커리""]}"
null,독도회세꼬시,restaurant,36.123739,128.363271,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선"", ""회""]}"
null,돌아온옛날통닭 구미신평점,restaurant,36.122988,128.36413,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨""]}"
null,동해해물찜,restaurant,36.123139,128.364427,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선""]}"
null,땅스떡볶이 비산점,fastfood,36.120612,128.371518,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식"", ""떡볶이"", ""땅스떡볶이""]}"
null,땅스부대찌개 비산점,restaurant,36.120538,128.371637,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""찌개,전골"", ""땅스부대찌개""]}"
null,뚜레쥬르 구미신비로점,restaurant,36.12062,128.372077,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""제과,베이커리"", ""뚜레쥬르""]}"
null,로타리식당,restaurant,36.121335,128.375322,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,롯데리아 구미신평DT점,fastfood,36.121416,128.362489,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""패스트푸드"", ""롯데리아""]}"
null,마포돼지갈비부대찌개,restaurant,36.121802,128.363682,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""갈비""]}"
null,맘스터치 구미비산점,fastfood,36.1217,128.375181,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""패스트푸드"", ""맘스터치""]}"
null,맛닭꼬 구미비산점,restaurant,36.122976,128.37422,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""맛닭꼬""]}"
null,모아막창 본점,restaurant,36.122276,128.363104,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""]}"
null,모콰,restaurant,36.124064,128.363273,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""양식""]}"
null,무궁화식당,restaurant,36.122729,128.363416,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국수"", ""칼국수""]}"
null,미돈,restaurant,36.121412,128.361591,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,미락보신정,restaurant,36.122033,128.363717,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""사철탕,영양탕""]}"
null,미미케이크,restaurant,36.124036,128.364756,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""제과,베이커리""]}"
null,바로커치킨,restaurant,36.120579,128.371528,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨""]}"
null,배스킨라빈스 구미신평점,restaurant,36.122682,128.364012,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""아이스크림"", ""배스킨라빈스""]}"
null,백운면,restaurant,36.121214,128.375581,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국수""]}"
null,버거킹 구미신평점,fastfood,36.123332,128.362455,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""패스트푸드"", ""버거킹""]}"
null,별에서온그닭 신평비산점,restaurant,36.123629,128.363474,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""닭요리""]}"
null,보경순대,restaurant,36.120637,128.371535,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""일식""]}"
null,보승루대반점,restaurant,36.117261,128.365522,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""중식"", ""중국요리""]}"
null,복복막창,restaurant,36.120386,128.375081,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""]}"
null,본죽&비빔밥cafe 구미신평비산점,restaurant,36.120657,128.371934,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""퓨전요리"", ""퓨전한식"", ""본죽&비빔밥cafe""]}"
null,본카스테라 구미점,restaurant,36.122237,128.362463,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""제과,베이커리""]}"
null,봉구스밥버거 비산점,restaurant,36.119704,128.374239,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""주먹밥"", ""봉구스밥버거""]}"
null,봉화보리밥,restaurant,36.120637,128.371535,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,뵈뵈,restaurant,36.120664,128.363285,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,부림해물손수제비해물칼국수 비산점,restaurant,36.12093,128.374423,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""수제비""]}"
null,빵글케이크,restaurant,36.120594,128.370878,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""제과,베이커리""]}"
null,빵아빵아 구미신평점,restaurant,36.122229,128.362459,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""제과,베이커리"", ""빵아빵아""]}"
null,빵퍼주는집,restaurant,36.120248,128.372132,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식""]}"
null,뼈큰감자탕 구미비산점,restaurant,36.122691,128.374187,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해장국""]}"
null,뿐이네실내포차,bar,36.120765,128.371602,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""실내포장마차""]}"
null,사또회참가자미,restaurant,36.121072,128.363549,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선"", ""회""]}"
null,삼미회관,restaurant,36.123215,128.363975,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,삼삼오오프리미엄삼겹살 신평점,restaurant,36.117242,128.364671,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""삼겹살""]}"
null,상돈이비빔돼지,restaurant,36.122587,128.362478,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,새마을구판장 비산본점,restaurant,36.121342,128.375325,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,샤브마니아 구미신평점,restaurant,36.121647,128.362471,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""샤브샤브"", ""샤브마니아""]}"
null,세다리,bar,36.122552,128.362451,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""실내포장마차""]}"
null,소담소담,restaurant,36.120938,128.375903,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,소야문경약돌한우,restaurant,36.120575,128.371191,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,손만두찐빵,fastfood,36.123881,128.362537,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식""]}"
null,수니한우소머리국밥,restaurant,36.12108,128.36358,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국밥""]}"
null,수백당 구미신평점,restaurant,36.121888,128.363086,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""순대""]}"
null,숯껌댕이,restaurant,36.121363,128.375344,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,스마일찹쌀꽈배기 비산점,restaurant,36.122623,128.375083,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""제과,베이커리""]}"
null,스시가오,restaurant,36.121312,128.363076,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""일식"", ""초밥,롤""]}"
null,신만리장성,restaurant,36.1197,128.374266,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""중식"", ""중국요리""]}"
null,신비칼국수,restaurant,36.123415,128.364742,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국수"", ""칼국수""]}"
null,신일월감자탕 신평점,restaurant,36.122285,128.361527,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""감자탕""]}"
null,신전떡볶이 구미신평점,fastfood,36.123181,128.364768,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식"", ""떡볶이"", ""신전떡볶이""]}"
null,신평 만포장,restaurant,36.123876,128.362643,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""족발,보쌈""]}"
null,신평고을호프,bar,36.122947,128.36447,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""호프,요리주점""]}"
null,신평돈돼지,restaurant,36.123883,128.362954,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,신평미주구리,restaurant,36.122618,128.362526,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선"", ""회""]}"
null,신평생고기,restaurant,36.121509,128.363124,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,신평양곱창,restaurant,36.122425,128.363099,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""]}"
null,신평칼국수,restaurant,36.122673,128.364862,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국수"", ""칼국수""]}"
null,신평포항횟집,restaurant,36.122445,128.363084,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선"", ""회""]}"
null,싱글벙글복어 신평점,restaurant,36.121035,128.363047,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선"", ""복어""]}"
null,싱푸마라앤꼬치 구미비산점,restaurant,36.12121,128.371594,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""중식"", ""중국요리""]}"
null,안다미로,restaurant,36.12335,128.364531,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,양천돈까스,restaurant,36.121107,128.375457,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""일식"", ""돈까스,우동""]}"
null,어부횟집,restaurant,36.122518,128.363521,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선"", ""회""]}"
null,어선횟집,restaurant,36.120991,128.375068,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선"", ""회""]}"
null,역전할머니맥주 구미신평점,bar,36.12339,128.362426,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""호프,요리주점"", ""역전할머니맥주""]}"
null,옛날시장통닭 비산점,restaurant,36.121118,128.374517,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨""]}"
null,오니드니,restaurant,36.123624,128.363894,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,오베론과자점,restaurant,36.122998,128.363463,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""제과,베이커리""]}"
null,오부장소 갈비찜 본점,restaurant,36.121591,128.374921,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""갈비""]}"
null,웰빙왕호떡 비산점,fastfood,36.120524,128.371515,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식""]}"
null,육통육 비산점,restaurant,36.122256,128.37493,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,의령식육식당,restaurant,36.116048,128.365359,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,이가네족발,restaurant,36.121215,128.375514,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""족발,보쌈""]}"
null,이례순대돼지국밥,restaurant,36.120948,128.374637,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국밥""]}"
null,이자카야진,bar,36.123084,128.36318,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""일본식주점""]}"
null,장수돼지국밥 본점,restaurant,36.122713,128.36252,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국밥""]}"
null,조타조아막창,restaurant,36.120778,128.362465,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""]}"
null,종가떡집,restaurant,36.122692,128.364022,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""떡,한과""]}"
null,죠스떡볶이 구미비산점,fastfood,36.121166,128.374864,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식"", ""떡볶이"", ""죠스떡볶이""]}"
null,주류상회be 구미점,restaurant,36.123191,128.362324,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""양식""]}"
null,즉석달웅도너츠,restaurant,36.120784,128.37163,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식""]}"
null,지코바 구미신평점,restaurant,36.12258,128.364342,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""지코바""]}"
null,진이식당,restaurant,36.116326,128.36472,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,착한막창 비산점,restaurant,36.121118,128.374513,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""]}"
null,착한빵집,restaurant,36.120641,128.372267,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""제과,베이커리""]}"
null,채다올김밥 구미신평점,fastfood,36.122677,128.364078,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식""]}"
